 Time        Air_Temp    MachNo_N    IAS         TAS         Press_Alt   Pot_Temp_T1 Pitot_Wing  CABIN_PRES  STATIC_PR   DEWPT       MixingRatio DewPoint    FrostPoint  POS_Roll    POS_Pitch   POS_Head    POSZ_Acc    POS_Lat     POS_Lon     POS_Alt     POS_Spd     POS_Trk     Alpha       Beta        VERT_VEL    Wind_Z      Wind_M      Wind_D      TURB        King_LWC_ad Nev_TWC     Nev_LWCcor  CDP_Conc    CDP_LWC     CDP_MenD    CDP_VolDia  CDP_EffRad  2-DC_Conc   2-DC_MenD   2-DC_VolDia 2-DC_EffRad IceMSOFreq  CPCConc     TSG_Date   
 second      degC        None        m/s         m/s         m           decK        hPa         hPa         hPa         degC        ppmw        C           C           degrees     degrees     degrees     MPsec2      degrees     degrees     m           MPsec       degrees     degrees     degrees     MPsec       MPsec       MPsec       degrees     cm^2/3*s^-1 g/m^3       g/m^3       g/m^3       #/cm^3      g/m^3       um          um          um          #/cm^3      um          um          um          Hz          #/cm^3      stamp      
  59658.2000     16.2888      0.2842     87.0555     96.9180   1762.5130    306.4951     47.2175    972.4172    818.4896 999999.9999 999999.9999 999999.9999 999999.9999   3.2012000   3.8607999 242.8535999     -0.0222  36.6165157  -97.298082  1841.66003    92.28040 245.9308002      3.7850     -2.1052     -0.0192     -0.3545      7.5161    193.3320      0.3871      0.0055     -0.0007      0.0014    0.344137    0.000023 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2140.0000      110601
  59659.2000     16.2731      0.2836     86.8665     96.7048   1762.3631    306.4768     47.0093    972.3180    818.5048 999999.9999 999999.9999 999999.9999 999999.9999   3.0176000   3.7320000 243.0847998      0.0842  36.6161784  -97.299024  1841.60520    92.16920 246.1795996      3.7954     -2.1048     -0.1598     -0.2305      7.4686    192.8657      0.3798      0.0053     -0.0007      0.0012    0.689825    0.000086    5.844787    7.109344    3.340883    0.000000 9999.999999 9999.999999 9999.999999       39990   2020.0000      110601
  59660.2000     16.2553      0.2833     86.7956     96.6215   1762.0632    306.4546     46.9314    972.2524    818.5351 999999.9999 999999.9999 999999.9999 999999.9999   1.8344000   3.5596000 243.2743994      0.5025  36.6158450  -97.299966  1841.32320    92.08040 246.3712006      3.7297     -2.0749     -0.4240     -0.2450      7.4705    193.1126      0.3633      0.0053     -0.0007      0.0015    0.344848    0.000018    4.108683    6.282231    2.935447    0.000000 9999.999999 9999.999999 9999.999999       39990   2080.0000      110601
  59661.2000     16.2549      0.2828     86.6463     96.4516   1761.3636    306.4466     46.7674    972.1499    818.6059 999999.9999 999999.9999 999999.9999 999999.9999  -0.9752000   3.4608000 243.2335987      0.2283  36.6155139  -97.300909  1840.73360    92.00320 246.3831995      3.6994     -1.9308     -0.6740     -0.2216      7.4709    192.2036      0.3672      0.0065     -0.0008      0.0019    0.432210    0.000026 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2100.0000      110601
  59662.2000     16.2633      0.2824     86.5186     96.3073   1760.6516    306.4479     46.6275    972.0423    818.6779 999999.9999 999999.9999 999999.9999 999999.9999  -4.5724000   3.5420000 242.7227992      0.1525  36.6151804  -97.301850  1839.96240    91.90880 246.0735999      3.7620     -1.6989     -0.7374     -0.1891      7.6895    190.1017      0.3751      0.0073     -0.0008      0.0021    0.433027    0.000095 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2280.0000      110601
  59663.2000     16.2911      0.2817     86.3164     96.0832   1759.8900    306.4691     46.4063    971.9566    818.7550 999999.9999 999999.9999 999999.9999 999999.9999  -8.1472000   3.6640001 241.7351991     -0.2474  36.6148412  -97.302786  1839.26160    91.76760 245.3579994      3.9349     -1.5551     -0.7106      0.0414      8.0010    186.9176      0.3721      0.0083     -0.0009      0.0017    0.780874    0.000047    4.330775    5.953779    2.758503    0.056576   31.849403   95.556540   29.804984       39990   2670.0000      110601
  59664.2000     16.3070      0.2814     86.2172     95.9702   1758.9286    306.4755     46.2980    971.9128    818.8523 999999.9999 999999.9999 999999.9999 999999.9999 -11.2972000   3.5803999 240.5016006     -0.2676  36.6144897  -97.303712  1838.53760    91.59440 244.2752004      4.0397     -1.5991     -0.8180      0.3479      8.2361    185.1811      0.3755      0.0091     -0.0009      0.0015    0.347187    0.000058 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2580.0000      110601
  59665.2000     16.3194      0.2812     86.1627     95.9059   1757.8922    306.4773     46.2386    971.8069    818.9572 999999.9999 999999.9999 999999.9999 999999.9999 -13.1696000   3.7132000 238.9516007     -0.7027  36.6141231  -97.304628  1837.61480    91.40360 242.9088009      3.9705     -1.5447     -0.8442     -0.0374      8.5426    183.3959      0.3813      0.0097     -0.0010      0.0015    0.434610    0.000096 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2580.0000      110601
  59666.2000     16.3327      0.2810     86.1083     95.8395   1756.4936    306.4764     46.1792    971.7145    819.0988 999999.9999 999999.9999 999999.9999 999999.9999 -14.0904000   4.1932000 237.1932011     -1.3168  36.6137381  -97.305529  1836.86240    91.17200 241.2847993      4.1567     -1.6532     -0.4604     -0.1020      8.8174    181.8270      0.3823      0.0101     -0.0010      0.0009    0.869632    0.000102    5.477025    7.224812    3.312720    0.000000 9999.999999 9999.999999 9999.999999       39990   2370.0000      110601
  59667.2000     16.3378      0.2806     86.0105     95.7259   1755.4448    306.4704     46.0727    971.7161    819.2049 999999.9999 999999.9999 999999.9999 999999.9999 -14.5975999   4.5620000 235.5483997     -1.2625  36.6133330  -97.306415  1836.74161    91.00800 239.5427986      4.4356     -1.8183      0.1790      0.4582      8.7160    181.0170      0.3879      0.0097     -0.0009     -0.0000    0.261281    0.000044 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980   2270.0000      110601
  59668.2000     16.3341      0.2806     85.9890     95.7013   1755.4198    306.4662     46.0494    971.7128    819.2075 999999.9999 999999.9999 999999.9999 999999.9999 -14.7500000   4.8208000 233.9144002     -1.1931  36.6129068  -97.307285  1837.27000    91.11520 237.7752015      4.4262     -1.7424      0.7640      0.5855      8.4667    179.4772      0.3696      0.0097     -0.0009     -0.0000    0.348232    0.000076 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2390.0000      110601
  59669.2000     16.3234      0.2812     86.1845     95.9198   1756.0191    306.4613     46.2624    971.7077    819.1468 999999.9999 999999.9999 999999.9999 999999.9999 -14.8828000   4.8308000 232.1736018     -0.8909  36.6124580  -97.308140  1838.31200    91.47560 236.0047987      4.3433     -1.6835      1.2274      0.8835      8.3659    177.0760      0.4171      0.0101     -0.0012      0.0002    0.607604    0.000115    4.108683    6.282231    2.935447    0.000000 9999.999999 9999.999999 9999.999999       39990   2580.0000      110601
  59670.2000     16.2949      0.2829     86.7006     96.4915   1756.7433    306.4390     46.8272    971.6556    819.0735 999999.9999 999999.9999 999999.9999 999999.9999 -15.0456000   5.0248000 230.4367985     -1.2412  36.6119858  -97.308980  1839.75761    91.94240 234.2008001      4.0874     -1.7849      1.5914      0.5313      8.3746    176.1570      0.5766      0.0089     -0.0013      0.0003    0.258702    0.000010 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2710.0000      110601
  59671.2000     16.2826      0.2847     87.2316     97.0889   1758.5540    306.4455     47.4120    971.5968    818.8902 999999.9999 999999.9999 999999.9999 999999.9999 -15.0775999   5.2636000 228.7747995     -1.1990  36.6114883  -97.309804  1841.52200    92.41920 232.3832014      4.0924     -1.8528      2.0504      0.6081      8.2617    175.9660      0.6941      0.0072     -0.0011      0.0000    0.771171    0.000102    7.013683    8.202007    3.701939    0.000000 9999.999999 9999.999999 9999.999999       39990   2780.0000      110601
  59672.2000     16.2796      0.2864     87.7616     97.6883   1760.6267    306.4648     47.9994    971.4791    818.6805 999999.9999 999999.9999 999999.9999 999999.9999 -15.2132000   5.6956000 226.9779990     -1.4176  36.6109683  -97.310614  1843.90838    92.83880 230.5435999      4.0310     -1.7993      2.7722      0.4557      8.3356    175.2876      0.7860      0.0069     -0.0013      0.0004    0.510989    0.000110 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980   2420.0000      110601
  59673.2000     16.2882      0.2878     88.1807     98.1678   1762.8629    306.4982     48.4666    971.4438    818.4542 999999.9999 999999.9999 999999.9999 999999.9999 -15.7572000   6.0260000 225.2056015     -1.5426  36.6104257  -97.311406  1847.12920    93.18240 228.6592006      4.1114     -1.8456      3.5850      0.8444      8.2939    174.8477      0.8428      0.0065     -0.0012      0.0001    0.678287    0.000108 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2420.0000      110601
  59674.2000     16.2855      0.2895     88.6756     98.7355   1766.0995    306.5303     49.0213    971.3278    818.1268 999999.9999 999999.9999 999999.9999 999999.9999 -16.2224001   6.7088000 223.3544003     -1.6941  36.6098592  -97.312177  1851.14601    93.42200 226.6867994      3.9918     -1.8487      4.4592      0.3318      8.3685    175.3957      0.9133      0.0055     -0.0013      0.0001    0.337015    0.000022 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2460.0000      110601
  59675.2000     16.3124      0.2904     88.9288     99.0461   1770.3001    306.6043     49.3063    971.2723    817.7021 999999.9999 999999.9999 999999.9999 999999.9999 -16.9548001   6.9560000 221.6200000     -1.2667  36.6092714  -97.312923  1856.11760    93.57520 224.6724004      4.1369     -1.8715      5.2190      0.9628      8.1407    176.4167      0.9245      0.0031     -0.0012     -0.0010    0.084124    0.000005 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980   2960.0000      110601
  59676.2000     16.3512      0.2911     89.1066     99.2768   1774.7646    306.6939     49.5071    971.1496    817.2509 999999.9999 999999.9999 999999.9999 999999.9999 -17.5688001   7.2392000 219.8320008     -1.2981  36.6086614  -97.313647  1861.63240    93.71240 222.6627999      3.8665     -1.8421      5.7488      0.5020      7.9369    176.8632      0.9400      0.0046     -0.0012     -0.0001    0.671046    0.000023    4.010317    4.900096    2.386720    0.000000 9999.999999 9999.999999 9999.999999       39990   3430.0000      110601
  59677.2000     16.3877      0.2918     89.2945     99.5251   1780.3073    306.7926     49.7197    971.0588    816.6910 999999.9999 999999.9999 999999.9999 999999.9999 -17.4156001   7.7480000 217.7508010     -2.0698  36.6080301  -97.314342  1867.65760    93.76000 220.5744000      3.8253     -1.7211      6.3668      0.0983      8.0723    175.8137      0.9470      0.0039     -0.0014      0.0001    0.334763    0.000021 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   3800.0000      110601
  59678.2000     16.4214      0.2921     89.3803     99.6599   1785.9037    306.8891     49.8169    971.0000    816.1260 999999.9999 999999.9999 999999.9999 999999.9999 -17.1864001   8.0084000 215.7875996     -1.5340  36.6073779  -97.315007  1874.42120    93.78600 218.4807988      3.9722     -1.8531      7.0226      0.6220      8.0216    175.3565      0.9516      0.0033     -0.0013     -0.0006    0.250781    0.000009 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   3750.0000      110601
  59679.2000     16.4042      0.2930     89.6038     99.9451   1792.5050    306.9424     50.0707    970.9966    815.4600 999999.9999 999999.9999 999999.9999 999999.9999 -16.9872002   8.0600002 214.1331998     -1.1992  36.6067079  -97.315645  1881.74680    93.95640 216.4951994      3.8071     -1.9484      7.4032      0.6890      7.7666    177.1606      0.9479      0.0034     -0.0013     -0.0000    0.499810    0.000050 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   3690.0000      110601
  59680.2000     16.3742      0.2939     89.8398    100.2447   1799.5378    306.9869     50.3394    970.9310    814.7509 999999.9999 999999.9999 999999.9999 999999.9999 -17.2400003   7.9396000 212.3627999     -0.5111  36.6060165  -97.316256  1889.24320    94.25400 214.6052002      3.5479     -1.7513      7.4826      0.4356      7.6455    176.5749      0.8815      0.0048     -0.0014      0.0011    0.083096    0.000014 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980   2880.0000      110601
  59681.2000     16.3499      0.2948     90.0864    100.5603   1807.0391    307.0427     50.6211    970.7965    813.9951 999999.9999 999999.9999 999999.9999 999999.9999 -17.1624000   7.9044000 210.4771993     -1.0852  36.6053059  -97.316840  1896.71320    94.56760 212.6835987      3.3886     -1.7855      7.5136      0.2366      7.6227    174.9223      0.8099      0.0047     -0.0013      0.0015    0.579598    0.000139 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2710.0000      110601
  59682.2000     16.3155      0.2956     90.2933    100.8256   1813.8183    307.0798     50.8578    970.7276    813.3126 999999.9999 999999.9999 999999.9999 999999.9999 -17.1944001   7.9743999 208.7356008     -0.9927  36.6045776  -97.317396  1904.27600    94.84280 210.7527991      3.4173     -1.9501      7.6070      0.3217      7.4376    174.9309      0.7356      0.0043     -0.0012      0.0014    0.660591    0.000172    4.997050    4.997050    2.498525    0.000000 9999.999999 9999.999999 9999.999999       39990   2730.0000      110601
  59683.2000     16.2705      0.2966     90.5564    101.1565   1821.3680    307.1141     51.1599    970.6688    812.5530 999999.9999 999999.9999 999999.9999 999999.9999 -17.7504002   8.1420000 206.9052014     -1.2639  36.6038371  -97.317923  1911.93561    95.10480 208.7943997      3.4302     -1.8761      7.8208      0.1902      7.3731    174.7130      0.6886      0.0035     -0.0012      0.0013    0.329291    0.000013 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980   2820.0000      110601
  59684.2000     16.2060      0.2973     90.7186    101.3720   1828.9116    307.1276     51.3465    970.5629    811.7946 999999.9999 999999.9999 999999.9999 999999.9999 -17.5784000   8.5988000 204.8547982     -1.9223  36.6030794  -97.318418  1919.94840    95.27840 206.7259991      3.5099     -1.8102      8.3418     -0.0259      7.3909    172.9666      0.5948      0.0036     -0.0012      0.0016    0.328758    0.000025 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   3300.0000      110601
  59685.2000     16.1282      0.2977     90.8184    101.5157   1836.4477    307.1269     51.4616    970.5242    811.0375 999999.9999 999999.9999 999999.9999 999999.9999 -16.9332002   8.7896001 202.9419989     -1.4949  36.6023067  -97.318877  1928.66881    95.37640 204.6903996      3.7072     -1.8986      8.9442      0.6220      7.3232    172.4897      0.5779      0.0049     -0.0012      0.0013    0.082113    0.000002 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   3540.0000      110601
  59686.2000     16.0364      0.2984     90.9919    101.7433   1844.6578    307.1187     51.6619    970.4485    810.2134 999999.9999 999999.9999 999999.9999 999999.9999 -17.0007999   8.9892000 201.1316008     -1.1768  36.6015242  -97.319296  1937.88000    95.46040 202.7396014      3.5507     -1.9562      9.3930      0.4521      7.3305    172.7487      0.5774      0.0046     -0.0012      0.0016    0.327391    0.000056 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   3570.0000      110601
  59687.2000     15.9636      0.2991     91.1539    101.9638   1853.2395    307.1348     51.8493    970.3157    809.3527 999999.9999 999999.9999 999999.9999 999999.9999 -17.0111998   9.1355999 199.3776009     -1.2462  36.6007263  -97.319687  1947.48440    95.54160 200.8059998      3.4771     -1.9050      9.7254      0.3692      7.3130    173.5402      0.5744      0.0039     -0.0012      0.0019    0.081709    0.000005 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2860.0000      110601
  59688.2000     15.9300      0.2994     91.1792    102.0420   1862.2836    307.1973     51.8787    970.2266    808.4465 999999.9999 999999.9999 999999.9999 999999.9999 -16.9204002   9.2644000 197.5563997     -1.1906  36.5999161  -97.320049  1957.35440    95.60280 198.8915998      3.4372     -1.8725     10.0358      0.3432      7.2547    172.8934      0.5711      0.0044     -0.0013      0.0018    0.244892    0.000024 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2620.0000      110601
  59689.2000     15.8818      0.2997     91.2279    102.1463   1871.7522    307.2492     51.9351    970.1443    807.4986 999999.9999 999999.9999 999999.9999 999999.9999 -16.6464001   9.6348000 195.6911999     -1.5958  36.5990962  -97.320377  1967.58480    95.62480 196.9544006      3.4162     -1.9031     10.4716      0.0706      7.2783    172.1041      0.5288      0.0046     -0.0010      0.0023    0.326282    0.000016 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2750.0000      110601
  59690.2000     15.8205      0.2998     91.1936    102.1581   1881.5712    307.2909     51.8953    970.0568    806.5165 999999.9999 999999.9999 999999.9999 999999.9999 -16.0288000   9.8936001 193.9252005     -1.3799  36.5982680  -97.320671  1978.33800    95.57560 195.0451999      3.5643     -1.9340     10.9722      0.3848      7.2390    172.2061      0.4869      0.0047     -0.0012      0.0019    0.244686    0.000021 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980   2750.0000      110601
  59691.2000     15.7449      0.3000     91.2055    102.2241   1892.2482    307.3268     51.9091    969.9593    805.4498 999999.9999 999999.9999 999999.9999 999999.9999 -14.1328001   9.9480001 192.3492008     -0.7667  36.5974330  -97.320933  1989.56560    95.51840 193.3047989      3.4748     -1.9668     11.3340      0.4576      7.2505    173.0063      0.4428      0.0044     -0.0012      0.0021    0.325985    0.000014    4.500667    4.777455    2.439635    0.000000 9999.999999 9999.999999 9999.999999       39990   2710.0000      110601
  59692.2000     15.6497      0.3003     91.2359    102.3080   1903.0251    307.3429     51.9443    969.8114    804.3742 999999.9999 999999.9999 999999.9999 999999.9999 -11.2643999  10.0604001 191.0744005     -0.8305  36.5965933  -97.321164  2001.02720    95.45720 191.8315982      3.3268     -2.0514     11.5762      0.1574      7.2844    174.4901      0.4112      0.0040     -0.0012      0.0024    0.488820    0.000085 9999.999999 9999.999999 9999.999999    0.010355   30.000000   30.000000   15.000000       39990   2920.0000      110601
  59693.2000     15.5566      0.3004     91.2071    102.3278   1914.0546    307.3639     51.9109    969.7778    803.2746 999999.9999 999999.9999 999999.9999 999999.9999  -9.9035999  10.1448000 190.0600000     -0.6367  36.5957504  -97.321370  2012.73720    95.38960 190.6416010      3.2651     -2.0789     11.8534      0.1236      7.2864    175.9344      0.3510      0.0032     -0.0011      0.0029    0.325734    0.000021 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980   2720.0000      110601
  59694.2000     15.4826      0.3002     91.0708    102.2317   1925.2109    307.4068     51.7532    969.6483    802.1636 999999.9999 999999.9999 999999.9999 999999.9999 -10.3672001  10.2259998 189.0832001     -0.4481  36.5949042  -97.321556  2024.76000    95.32480 189.5008008      3.2381     -1.9914     12.1422      0.2277      7.1901    176.9768      0.3441      0.0035     -0.0011      0.0030    0.244673    0.000024 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2700.0000      110601
  59695.2000     15.3833      0.3000     90.9579    102.1576   1936.4557    307.4236     51.6226    969.5727    801.0450 999999.9999 999999.9999 999999.9999 999999.9999 -10.2336001  10.2315996 188.0040009     -0.7084  36.5940559  -97.321721  2037.03960    95.26400 188.3444000      3.2336     -1.8831     12.2834      0.3270      7.1491    177.0010      0.3274      0.0047     -0.0012      0.0034    0.571084    0.000042 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2660.0000      110601
  59696.2000     15.2807      0.3000     90.8878    102.1321   1947.9170    307.4393     51.5417    969.4819    799.9062 999999.9999 999999.9999 999999.9999 999999.9999  -8.9040000  10.2015999 186.8964006     -0.3785  36.5932059  -97.321865  2049.33083    95.20280 187.2340001      3.2162     -1.9074     12.3234      0.3495      7.1839    175.9327      0.2834      0.0044     -0.0011      0.0035    0.244671    0.000033 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2790.0000      110601
  59697.2000     15.1645      0.3002     90.8849    102.1806   1959.5698    307.4426     51.5384    969.3474    798.7498 999999.9999 999999.9999 999999.9999 999999.9999  -6.1376000  10.1760000 186.1115985     -0.1538  36.5923550  -97.321989  2061.69114    95.13960 186.3211993      3.1925     -2.1095     12.3910      0.3312      7.2554    176.9159      0.2716      0.0038     -0.0012      0.0036    0.652176    0.000071    6.063462    7.896819    3.262590    0.000000 9999.999999 9999.999999 9999.999999       39990   2800.0000      110601
  59698.2000     15.0381      0.3007     90.9845    102.3437   1971.4917    307.4380     51.6534    969.2751    797.5680 999999.9999 999999.9999 999999.9999 999999.9999  -3.2596000  10.2056000 185.5639996     -0.0234  36.5915028  -97.322099  2074.11847    95.07920 185.7164007      3.1333     -2.1653     12.5000      0.0971      7.4600    177.4082      0.2751      0.0037     -0.0012      0.0033    0.651116    0.000069    5.314016    6.639337    3.100795    0.000000 9999.999999 9999.999999 9999.999999       39990   2800.0000      110601
  59699.2000     14.9333      0.3010     91.0003    102.4137   1982.9043    307.4506     51.6716    969.1675    796.4380 999999.9999 999999.9999 999999.9999 999999.9999  -1.2796000  10.3256001 185.2799988     -0.2404  36.5906511  -97.322201  2086.70395    94.99480 185.3475995      3.1478     -2.2198     12.7158     -0.0067      7.5948    178.2325      0.2790      0.0030     -0.0011      0.0032    0.732413    0.000118    7.450883    8.467752    3.910297    0.000000 9999.999999 9999.999999 9999.999999       39990   2670.0000      110601
  59700.2000     14.8536      0.3008     90.8791    102.3401   1995.1736    307.4996     51.5317    969.1120    795.2247 999999.9999 999999.9999 999999.9999 999999.9999  -0.1132000  10.4176000 185.3347998     -0.5198  36.5897993  -97.322297  2099.57200    94.89160 185.1476007      3.2164     -2.3068     12.9822      0.1492      7.5839    181.4528      0.2832      0.0021     -0.0010      0.0027    0.733026    0.000065    4.703062    5.929561    2.731990    0.000000 9999.999999 9999.999999 9999.999999       39990   2740.0000      110601
  59701.2000     14.7659      0.3009     90.8335    102.3475   2007.0869    307.5361     51.4790    969.0498    794.0480 999999.9999 999999.9999 999999.9999 999999.9999   0.7828000  10.5428000 185.3636011     -0.4273  36.5889479  -97.322392  2112.68720    94.77480 185.0875982      3.2224     -2.1783     13.2258      0.1145      7.6991    182.7818      0.2809      0.0019     -0.0011      0.0031    0.813929    0.000062    4.564514    5.565453    2.643633    0.000000 9999.999999 9999.999999 9999.999999       39990   2700.0000      110601
  59702.2000     14.6835      0.3010     90.8071    102.3813   2019.6427    307.5854     51.4486    968.9591    792.8093 999999.9999 999999.9999 999999.9999 999999.9999   0.7312000  10.6467998 185.2615991     -0.2313  36.5880980  -97.322486  2126.04481    94.62120 185.0600012      3.2301     -2.0827     13.4814      0.2061      7.8909    181.8172      0.2908      0.0025     -0.0012      0.0030    0.488414    0.000131 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2760.0000      110601
  59703.2000     14.5854      0.3016     90.9135    102.5600   2031.9449    307.6150     51.5714    968.8262    791.5972 999999.9999 999999.9999 999999.9999 999999.9999   0.9676000  10.6615999 185.3256012      0.0648  36.5872499  -97.322578  2139.66800    94.47880 185.0240021      3.1792     -2.1764     13.6104      0.1831      8.2048    183.1007      0.3361      0.0026     -0.0012      0.0031    0.974793    0.000132    4.760984    9.197998    3.998810    0.000000 9999.999999 9999.999999 9999.999999       39990   2700.0000      110601
  59704.2000     14.5041      0.3017     90.8820    102.5913   2044.9566    307.6705     51.5350    968.7691    790.3169 999999.9999 999999.9999 999999.9999 999999.9999   1.5604000  10.6923998 185.3092011     -0.0942  36.5864026  -97.322671  2153.26600    94.34600 185.0632001      3.0964     -2.0775     13.5414     -0.1300      8.3725    182.6306      0.3257      0.0025     -0.0011      0.0035    0.487427    0.000074    6.029000    7.101890    3.161977    0.000000 9999.999999 9999.999999 9999.999999       39990   2690.0000      110601
  59705.2000     14.4249      0.3014     90.7047    102.4563   2057.5218    307.7233     51.3306    968.6850    789.0820 999999.9999 999999.9999 999999.9999 999999.9999   1.2004000  10.5452000 185.2220025      0.2023  36.5855559  -97.322765  2166.73961    94.24200 185.0899963      3.0795     -2.0971     13.2978     -0.0684      8.3529    181.1664      0.3480      0.0038     -0.0010      0.0036    0.325612    0.000058 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2680.0000      110601
  59706.2000     14.3337      0.3010     90.5154    102.3082   2070.5152    307.7680     51.1127    968.5673    787.8068 999999.9999 999999.9999 999999.9999 999999.9999   0.7252000  10.0916001 185.2100012      0.6184  36.5847099  -97.322859  2179.83197    94.22760 185.0907983      2.9815     -2.1015     12.8620      0.1704      8.2257    181.0027      0.3558      0.0045     -0.0012      0.0039    0.733194    0.000056    5.591800    5.988155    2.821342    0.000000 9999.999999 9999.999999 9999.999999       39990   2650.0000      110601
  59707.2000     14.2263      0.3012     90.5019    102.3520   2083.0610    307.7904     51.0972    968.4446    786.5770 999999.9999 999999.9999 999999.9999 999999.9999   0.4524000   9.9480001 184.9967999      0.2522  36.5838644  -97.322952  2192.42675    94.25080 185.0560004      2.8521     -1.9659     12.4290     -0.2345      8.2727    178.8217      0.3423      0.0051     -0.0011      0.0043    0.651165    0.000109    6.236116    7.611200    3.479133    0.000000 9999.999999 9999.999999 9999.999999       39990   2660.0000      110601
  59708.2000     14.1324      0.3011     90.4085    102.3041   2094.9384    307.8200     50.9899    968.3757    785.4142 999999.9999 999999.9999 999999.9999 999999.9999   0.3588000   9.7080000 184.7756000      0.3260  36.5830182  -97.323043  2204.65881    94.29760 184.9848010      2.9762     -2.0554     12.0652      0.0599      8.2110    176.7712      0.3317      0.0042     -0.0011      0.0039    0.488704    0.000078 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2580.0000      110601
  59709.2000     14.0394      0.3014     90.4256    102.3772   2106.2222    307.8441     51.0096    968.3522    784.3108 999999.9999 999999.9999 999999.9999 999999.9999   0.8456000   9.5707999 184.6571979      0.3594  36.5821713  -97.323134  2216.52919    94.36800 184.9291974      2.9784     -2.0962     11.7590     -0.0358      8.2304    175.9009      0.3420      0.0049     -0.0013      0.0036    0.976196    0.000089    5.376064    6.125115    3.049638    0.000000 9999.999999 9999.999999 9999.999999       39990   2380.0000      110601
  59710.2000     13.9587      0.3017     90.4770    102.4915   2117.5704    307.8820     51.0686    968.2395    783.2023 999999.9999 999999.9999 999999.9999 999999.9999   1.1668000   9.3828000 184.6475958      0.5564  36.5813238  -97.323224  2228.15720    94.46080 184.9231964      3.0348     -2.1345     11.5476      0.1398      8.2547    175.8545      0.3595      0.0040     -0.0014      0.0031    0.894604    0.000218    6.499626    7.386010    3.499277    0.000000 9999.999999 9999.999999 9999.999999       39990   2410.0000      110601
  59711.2000     13.9323      0.3014     90.3098    102.3674   2128.6334    307.9751     50.8767    968.1218    782.1229 999999.9999 999999.9999 999999.9999 999999.9999   1.6072000   9.3096000 184.5892004     -0.0809  36.5804759  -97.323315  2239.60920    94.57320 184.9624011      3.0291     -2.0685     11.3430      0.0463      8.0466    174.4981      0.3781      0.0050     -0.0012      0.0029    0.407298    0.000026 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990   2380.0000      110601
  59712.2000     13.9169      0.3009     90.1111    102.2093   2139.6702    308.0797     50.6493    968.0378    781.0473 999999.9999 999999.9999 999999.9999 999999.9999   1.6388000   9.1743999 184.4927997      0.1745  36.5796268  -97.323408  2250.82440    94.70680 185.0099994      3.0772     -2.0517     11.0776      0.1209      7.8123    172.2124      0.3934      0.0054     -0.0013      0.0031    0.570560    0.000032    4.997050    4.997050    2.498525    0.000000 9999.999999 9999.999999 9999.999999       39990   2320.0000      110601
